YML File,Prolog File,FNs Using Roles,FN Count,Private FN Count,Public FN Count,Resource Count,Public RW Resources,Public RO Resources,Public WO Resources,Private Resources,dynamodb Resources,rds Resources,secretsmanager Resources,route53 Resources,kinesis Resources,s3 Resources,apigateway Resources,sqs Resources,ssm Resources,sdb Resources,event Resources,kms Resources,sns Resources,Global IAM Stmts,Min Stmts Defined Per FN,Max Stmts Defined Per FN,Avg Stmts Defined Per FN,Full Wildcard Resources,Full Wildcard Permissions,Partial Wildcard Resources,Partial Wildcard Permissions,Permission Facts Generated,Min Facts Generated Per FN,Max Facts Generated Per FN,Avg Facts Generated Per FN,Event Triggers,S3 Triggers,IoT Triggers,Stream Msg Triggers,SNS Msg Triggers
/data/serverless-dataset/lingrino/infra-personal/serverless/sns-notifier/serverless.yml,/data/results/lingrino-infra-personal-3.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2
/data/serverless-dataset/nikgraf/serverless-framework-course/lesson-6/serverless.yml,/data/results/nikgraf-serverless-framework-course-6.pl,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1.0,0,0,0,0,0
/data/serverless-dataset/nikgraf/serverless-framework-course/lesson-7/serverless.yml,/data/results/nikgraf-serverless-framework-course-7.pl,0,2,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,2,2.0,0,0,0,0,0
/data/serverless-dataset/bbilger/jrestless-examples/aws/service/aws-service-usage-example-client/serverless.yml,/data/results/bbilger-jrestless-examples-10.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/DavidWells/serverless-workshop/lessons-code-complete/events/s3/serverless.yml,/data/results/DavidWells-serverless-workshop-15.pl,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,2,2,2.0,4,4,0,0,0
/data/serverless-dataset/DavidWells/serverless-workshop/_instructor/events/s3/serverless.yml,/data/results/DavidWells-serverless-workshop-24.pl,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,2,2,2.0,4,4,0,0,0
/data/serverless-dataset/jweyrich/cloudfront-invalidate-dist/serverless.yml,/data/results/jweyrich-cloudfront-invalidate-dist-30.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/cube-js/cube.js/examples/aws-web-analytics/event-collection/serverless.yml,/data/results/cube-js-cube.js-44.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/zozs/a-wild-button-appears/serverless.yml,/data/results/zozs-a-wild-button-appears-45.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
/data/serverless-dataset/keitakn/aws-serverless-prototype/serverless.yml,/data/results/keitakn-aws-serverless-prototype-47.pl,0,10,1,9,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,140,14,14,14.0,0,0,0,0,0
/data/serverless-dataset/diegozanon/serverless-notifications/serverless.yml,/data/results/diegozanon-serverless-notifications-52.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
