Name,YMLs,Invalid YMLs,Functions,Plugins,Packages,Global Policy Version,Function Policy Version,YML LOC,Functions Defined Externally,Resources,YMLs with Global Policies,Number of Global Statements,Number of Global Roles,Functions with Policies,Number of Functions with Roles,Number of Function Statements,Allows Invoke,Global Invoke,AWS Lambda Project
/data/serverless-dataset/nicholasgubbins/Serverless-Image-Resizer,1,0,3,1,0,None,None,86,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/kubeless/functions,4,0,4,4,0,None,None,50,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/mbudm/fotopia-serverless,2,0,18,3,0,None,None,828,0,0,1,6,0,0,0,0,True,True,True
/data/serverless-dataset/jgeschwendt/serverless-prisma,1,1,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/inextensodigital/actions,1,0,3,1,0,None,None,54,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/iDVB/middy-reroute,1,0,1,2,0,None,Default Role-Based,349,0,0,0,0,0,1,1,0,False,False,True
/data/serverless-dataset/lingrino/infra-personal,4,0,2,0,0,None,None,231,0,0,2,2,0,0,0,0,False,False,True
/data/serverless-dataset/DinnerKang/study_vue,1,0,1,0,0,None,None,34,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/maticzav/graphql-shield,1,0,1,1,0,None,None,13,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/adieuadieu/serverless-chrome,3,0,8,3,0,None,None,136,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/adieuadieu/retinal,1,0,1,1,0,Legacy,None,94,0,0,1,3,0,0,0,0,False,False,True
/data/serverless-dataset/jasonumiker/serverless-multicloud-example,3,0,6,6,0,None,None,131,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/Philmod/google-cloud-build-slack,1,0,1,1,0,None,None,28,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/threadheap/serverless-plugin-parcel,1,0,1,2,0,None,None,24,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/threadheap/serviceless,5,0,1,0,0,None,None,24,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/nikgraf/serverless-framework-course,5,0,6,0,0,Legacy,None,133,0,0,2,2,0,0,0,0,False,False,True
/data/serverless-dataset/dabit3/nextjs-data-story,1,0,0,0,0,None,None,2,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/dabit3/next.js-cdk-amplify-workshop,1,0,0,0,0,None,None,2,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/dabit3/next.js-amplify-workshop,1,0,0,0,0,None,None,2,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/dabit3/next.js-authentication-aws,1,0,0,0,0,None,None,2,0,0,0,0,0,0,0,0,False,False,True
